Gene,Attractor
Fgf4,23.5
Lefty1,23.5
Pecam1,23.5
Rex1,23.5
iGSK3b,23.5
LIF,23.5
SignalLIF,23.5
SignalWNT,23.5
SignalBMP,23.5
Bmp4,24.1
Gbx2,24.1
Jarid2,24.1
Sox2,24.1
Fgf4,24.1
Klf2,24.1
Lefty1,24.1
iGSK3b,24.1
LIF,24.1
bFGF,24.1
SignalLIF,24.1
Bmp4,24.2
Esrrb,24.2
Gbx2,24.2
Klf4,24.2
Oct4,24.2
Lefty1,24.2
Myc,24.2
Pecam1,24.2
Rex1,24.2
iGSK3b,24.2
LIF,24.2
bFGF,24.2
SignalLIF,24.2
SignalWNT,24.2
SignalBMP,24.2
Bmp4,24.3
EpiTFs,24.3
Esrrb,24.3
Gbx2,24.3
Jarid2,24.3
Klf4,24.3
Nanog,24.3
Oct4,24.3
Cdx2,24.3
Fgf4,24.3
Lefty1,24.3
Lrh1,24.3
Pitx2,24.3
Myc,24.3
Rex1,24.3
iGSK3b,24.3
LIF,24.3
bFGF,24.3
SignalLIF,24.3
SignalWNT,24.3
SignalBMP,24.3
Bmp4,24.4
Gbx2,24.4
Jarid2,24.4
Nanog,24.4
Sox2,24.4
Fgf4,24.4
Lefty1,24.4
Lrh1,24.4
iGSK3b,24.4
LIF,24.4
bFGF,24.4
SignalLIF,24.4
SignalBMP,24.4
Bmp4,24.5
EpiTFs,24.5
Esrrb,24.5
Gbx2,24.5
Klf4,24.5
Nanog,24.5
Oct4,24.5
Smad6,24.5
Sox2,24.5
Tcf3,24.5
Cdx2,24.5
Fgf4,24.5
Lefty1,24.5
Pecam1,24.5
Rex1,24.5
iGSK3b,24.5
LIF,24.5
bFGF,24.5
SignalLIF,24.5
SignalWNT,24.5
SignalBMP,24.5
Bmp4,25.1
Esrrb,25.1
Fgfr2,25.1
Gbx2,25.1
Jarid2,25.1
Klf4,25.1
Oct4,25.1
Smad6,25.1
Cdx2,25.1
Fgf4,25.1
Klf2,25.1
Lefty1,25.1
Myc,25.1
Rex1,25.1
iGSK3b,25.1
LIF,25.1
SignalLIF,25.1
SignalBMP,25.1
Bmp4,25.2
Esrrb,25.2
Gbx2,25.2
Gcnf,25.2
Jarid2,25.2
Klf4,25.2
Nanog,25.2
Tcf3,25.2
Fgf4,25.2
Lefty1,25.2
Lrh1,25.2
Myc,25.2
Pecam1,25.2
Rex1,25.2
iGSK3b,25.2
LIF,25.2
SignalLIF,25.2
SignalFGF,25.2
Bmp4,25.3
Esrrb,25.3
Gbx2,25.3
Jarid2,25.3
Klf4,25.3
Oct4,25.3
Sox2,25.3
Tcf3,25.3
Fgf4,25.3
Pecam1,25.3
Rex1,25.3
iGSK3b,25.3
LIF,25.3
SignalLIF,25.3
SignalBMP,25.3
SignalERK,25.3
SignalPI3K,25.3
Bmp4,25.4
Esrrb,25.4
Gbx2,25.4
Jarid2,25.4
Klf4,25.4
Oct4,25.4
Sox2,25.4
Tcf3,25.4
Cdx2,25.4
Dusp6,25.4
Fgf4,25.4
Klf2,25.4
Lefty1,25.4
Mycn,25.4
Myc,25.4
Rex1,25.4
iGSK3b,25.4
LIF,25.4
SignalLIF,25.4
SignalBMP,25.4
Bmp4,25.5
Esrrb,25.5
Gbx2,25.5
Gcnf,25.5
Jarid2,25.5
Klf4,25.5
Sox2,25.5
Tcf3,25.5
Fgf4,25.5
Lefty1,25.5
Mycn,25.5
Myc,25.5
Pecam1,25.5
Rex1,25.5
iGSK3b,25.5
LIF,25.5
SignalLIF,25.5
SignalBMP,25.5
Bmp4,26.1
Esrrb,26.1
Fgfr2,26.1
Gbx2,26.1
Jarid2,26.1
Klf4,26.1
Oct4,26.1
Smad6,26.1
Cdx2,26.1
Fgf4,26.1
Klf2,26.1
Lefty1,26.1
Myc,26.1
Rex1,26.1
iGSK3b,26.1
LIF,26.1
bFGF,26.1
SignalLIF,26.1
SignalBMP,26.1
Bmp4,26.2
Esrrb,26.2
Gbx2,26.2
Gcnf,26.2
Jarid2,26.2
Klf4,26.2
Nanog,26.2
Tcf3,26.2
Fgf4,26.2
Lefty1,26.2
Lrh1,26.2
Myc,26.2
Pecam1,26.2
Rex1,26.2
iGSK3b,26.2
LIF,26.2
bFGF,26.2
SignalLIF,26.2
SignalFGF,26.2
Bmp4,26.3
Esrrb,26.3
Gbx2,26.3
Jarid2,26.3
Klf4,26.3
Oct4,26.3
Sox2,26.3
Tcf3,26.3
Fgf4,26.3
Pecam1,26.3
Rex1,26.3
iGSK3b,26.3
LIF,26.3
bFGF,26.3
SignalLIF,26.3
SignalBMP,26.3
SignalERK,26.3
SignalPI3K,26.3
Bmp4,26.4
Esrrb,26.4
Gbx2,26.4
Jarid2,26.4
Klf4,26.4
Oct4,26.4
Sox2,26.4
Tcf3,26.4
Cdx2,26.4
Dusp6,26.4
Fgf4,26.4
Klf2,26.4
Lefty1,26.4
Mycn,26.4
Myc,26.4
Rex1,26.4
iGSK3b,26.4
LIF,26.4
bFGF,26.4
SignalLIF,26.4
SignalBMP,26.4
Bmp4,26.5
Esrrb,26.5
Gbx2,26.5
Gcnf,26.5
Jarid2,26.5
Klf4,26.5
Sox2,26.5
Tcf3,26.5
Fgf4,26.5
Lefty1,26.5
Mycn,26.5
Myc,26.5
Pecam1,26.5
Rex1,26.5
iGSK3b,26.5
LIF,26.5
bFGF,26.5
SignalLIF,26.5
SignalBMP,26.5
Bmp4,27.1
Esrrb,27.1
Fgfr2,27.1
Gbx2,27.1
Jarid2,27.1
Klf4,27.1
Oct4,27.1
Smad6,27.1
Cdx2,27.1
Fgf4,27.1
Klf2,27.1
Lefty1,27.1
Myc,27.1
Rex1,27.1
LIF,27.1
SignalLIF,27.1
SignalBMP,27.1
Bmp4,27.2
Esrrb,27.2
Gbx2,27.2
Gcnf,27.2
Jarid2,27.2
Klf4,27.2
Nanog,27.2
Tcf3,27.2
Fgf4,27.2
Lefty1,27.2
Lrh1,27.2
Myc,27.2
Pecam1,27.2
Rex1,27.2
LIF,27.2
SignalLIF,27.2
SignalFGF,27.2
Bmp4,27.3
Esrrb,27.3
Gbx2,27.3
Jarid2,27.3
Klf4,27.3
Oct4,27.3
Sox2,27.3
Tcf3,27.3
Fgf4,27.3
Pecam1,27.3
Rex1,27.3
LIF,27.3
SignalLIF,27.3
SignalBMP,27.3
SignalERK,27.3
SignalPI3K,27.3
Bmp4,27.4
Esrrb,27.4
Gbx2,27.4
Jarid2,27.4
Klf4,27.4
Oct4,27.4
Sox2,27.4
Tcf3,27.4
Cdx2,27.4
Dusp6,27.4
Fgf4,27.4
Klf2,27.4
Lefty1,27.4
Mycn,27.4
Myc,27.4
Rex1,27.4
LIF,27.4
SignalLIF,27.4
SignalBMP,27.4
Bmp4,27.5
Esrrb,27.5
Gbx2,27.5
Gcnf,27.5
Jarid2,27.5
Klf4,27.5
Sox2,27.5
Tcf3,27.5
Fgf4,27.5
Lefty1,27.5
Mycn,27.5
Myc,27.5
Pecam1,27.5
Rex1,27.5
LIF,27.5
SignalLIF,27.5
SignalBMP,27.5
Bmp4,28.1
Esrrb,28.1
Fgfr2,28.1
Gbx2,28.1
Jarid2,28.1
Klf4,28.1
Oct4,28.1
Smad6,28.1
Cdx2,28.1
Fgf4,28.1
Klf2,28.1
Lefty1,28.1
Myc,28.1
Rex1,28.1
LIF,28.1
bFGF,28.1
SignalLIF,28.1
SignalBMP,28.1
Bmp4,28.2
Esrrb,28.2
Gbx2,28.2
Gcnf,28.2
Jarid2,28.2
Klf4,28.2
Nanog,28.2
Tcf3,28.2
Fgf4,28.2
Lefty1,28.2
Lrh1,28.2
Myc,28.2
Pecam1,28.2
Rex1,28.2
LIF,28.2
bFGF,28.2
SignalLIF,28.2
SignalFGF,28.2
Bmp4,28.3
Esrrb,28.3
Gbx2,28.3
Jarid2,28.3
Klf4,28.3
Oct4,28.3
Sox2,28.3
Tcf3,28.3
Fgf4,28.3
Pecam1,28.3
Rex1,28.3
LIF,28.3
bFGF,28.3
SignalLIF,28.3
SignalBMP,28.3
SignalERK,28.3
SignalPI3K,28.3
Bmp4,28.4
Esrrb,28.4
Gbx2,28.4
Jarid2,28.4
Klf4,28.4
Oct4,28.4
Sox2,28.4
Tcf3,28.4
Cdx2,28.4
Dusp6,28.4
Fgf4,28.4
Klf2,28.4
Lefty1,28.4
Mycn,28.4
Myc,28.4
Rex1,28.4
LIF,28.4
bFGF,28.4
SignalLIF,28.4
SignalBMP,28.4
Bmp4,28.5
Esrrb,28.5
Gbx2,28.5
Gcnf,28.5
Jarid2,28.5
Klf4,28.5
Sox2,28.5
Tcf3,28.5
Fgf4,28.5
Lefty1,28.5
Mycn,28.5
Myc,28.5
Pecam1,28.5
Rex1,28.5
LIF,28.5
bFGF,28.5
SignalLIF,28.5
SignalBMP,28.5
