"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","url"
"mmu04550","mmu04550","Signaling pathways regulating pluripotency of stem cells","3/3","138/8657",3.96448541480178e-06,1.18934562444053e-05,8.34628508379322e-06,"18999/20674/71950",3,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04550/18999/20674/71950"")"
"mmu04390","mmu04390","Hippo signaling pathway","1/3","154/8657",0.0524294417522176,0.069379614713024,0.0486874489214204,"20674",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04390/20674"")"
"mmu05205","mmu05205","Proteoglycans in cancer","1/3","205/8657",0.069379614713024,0.069379614713024,0.0486874489214204,"71950",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05205/71950"")"
