"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001228","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","8/15","436/20775",1.99741831651854e-10,1.35824445523261e-08,3.36407295413649e-09,"Esrrb/Gbx2/Klf4/Pou5f1/Sox2/Tcf3/Mycn/Myc",8
"GO:0001227","GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific","5/15","237/20775",5.06741511150028e-07,1.7229211379101e-05,4.26729693600024e-06,"Jarid2/Pou5f1/Tcf3/Cdx2/Myc",5
"GO:0001158","GO:0001158","enhancer sequence-specific DNA binding","4/15","121/20775",1.42209768931397e-06,3.22342142911167e-05,7.98370632597317e-06,"Esrrb/Pou5f1/Tcf3/Cdx2",4
"GO:0035326","GO:0035326","enhancer binding","4/15","132/20775",2.01317823604827e-06,3.42240300128207e-05,8.47653994125589e-06,"Esrrb/Pou5f1/Tcf3/Cdx2",4
"GO:0000980","GO:0000980","RNA polymerase II distal enhancer sequence-specific DNA binding","3/15","94/20775",3.92387577729621e-05,0.000533647105712284,0.000132172657761556,"Esrrb/Tcf3/Cdx2",3
"GO:0008083","GO:0008083","growth factor activity","3/15","146/20775",0.000145412736391994,0.0016480110124426,0.000408176102152965,"Bmp4/Fgf4/Lefty1",3
"GO:0035198","GO:0035198","miRNA binding","2/15","29/20775",0.000195340373049903,0.00189759219534192,0.000469991875007286,"Pou5f1/Sox2",2
"GO:0061980","GO:0061980","regulatory RNA binding","2/15","36/20775",0.000302230676411265,0.00256896074949575,0.000636275108234241,"Pou5f1/Sox2",2
"GO:0070888","GO:0070888","E-box binding","2/15","47/20775",0.000516215967528959,0.00390029842132991,0.000966018184849515,"Tcf3/Myc",2
"GO:0005160","GO:0005160","transforming growth factor beta receptor binding","2/15","54/20775",0.000681361773619184,0.00463326006061045,0.00114755667135863,"Bmp4/Lefty1",2
"GO:0001047","GO:0001047","core promoter binding","2/15","62/20775",0.000897389832317825,0.0055475007816011,0.00137399400163495,"Gbx2/Myc",2
"GO:0070491","GO:0070491","repressing transcription factor binding","2/15","71/20775",0.0011748614688318,0.00665754832338021,0.00164892837730779,"Tcf3/Myc",2
"GO:0031490","GO:0031490","chromatin DNA binding","2/15","96/20775",0.00213353829431009,0.0111600464625451,0.0027640981950576,"Pou5f1/Sox2",2
"GO:0003712","GO:0003712","transcription coregulator activity","3/15","457/20775",0.00395117202599394,0.0191914069833991,0.00475328965533106,"Pou5f1/Tcf3/Cdx2",3
"GO:0048018","GO:0048018","receptor ligand activity","3/15","491/20775",0.00483054070785495,0.0218984512089424,0.00542376500531082,"Bmp4/Fgf4/Lefty1",3
"GO:0001085","GO:0001085","RNA polymerase II transcription factor binding","2/15","153/20775",0.00531290021021439,0.0225798258934111,0.00559252653706777,"Gbx2/Klf4",2
"GO:0001162","GO:0001162","RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding","1/15","11/20775",0.00791552631422077,0.0289121990512941,0.00716091617369512,"Pou5f1",1
"GO:0070700","GO:0070700","BMP receptor binding","1/15","11/20775",0.00791552631422077,0.0289121990512941,0.00716091617369512,"Bmp4",1
