"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003714","GO:0003714","transcription corepressor activity","2/15","190/20775",0.00807840855844981,0.0289121990512941,0.00716091617369512,"Pou5f1/Cdx2",2
"GO:0039706","GO:0039706","co-receptor binding","1/15","12/20775",0.00863221226612243,0.0293198914744811,0.00726189262525848,"Bmp4",1
"GO:0017017","GO:0017017","MAP kinase tyrosine/serine/threonine phosphatase activity","1/15","13/20775",0.00934841497363137,0.0293198914744811,0.00726189262525848,"Dusp6",1
"GO:0001161","GO:0001161","intronic transcription regulatory region sequence-specific DNA binding","1/15","14/20775",0.010064134739328,0.0293198914744811,0.00726189262525848,"Pou5f1",1
"GO:0005125","GO:0005125","cytokine activity","2/15","218/20775",0.0105188863507005,0.0293198914744811,0.00726189262525848,"Bmp4/Lefty1",2
"GO:0033549","GO:0033549","MAP kinase phosphatase activity","1/15","15/20775",0.0107793718656181,0.0293198914744811,0.00726189262525848,"Dusp6",1
"GO:0044213","GO:0044213","intronic transcription regulatory region DNA binding","1/15","15/20775",0.0107793718656181,0.0293198914744811,0.00726189262525848,"Pou5f1",1
"GO:0070696","GO:0070696","transmembrane receptor protein serine/threonine kinase binding","1/15","18/20775",0.0129221904294841,0.0337964980463429,0.00837064967092085,"Bmp4",1
"GO:0035014","GO:0035014","phosphatidylinositol 3-kinase regulator activity","1/15","20/20775",0.014348328477937,0.0353146888061942,0.00874667215014099,"Klf4",1
"GO:0003713","GO:0003713","transcription coactivator activity","2/15","260/20775",0.0147145251941383,0.0353146888061942,0.00874667215014099,"Pou5f1/Tcf3",2
"GO:0008327","GO:0008327","methyl-CpG binding","1/15","21/20775",0.015060676108524,0.0353146888061942,0.00874667215014099,"Cdx2",1
"GO:0071837","GO:0071837","HMG box domain binding","1/15","25/20775",0.0179052643655362,0.0386493626894342,0.0095725975701385,"Pou5f1",1
"GO:0005104","GO:0005104","fibroblast growth factor receptor binding","1/15","26/20775",0.0186152123672002,0.0386493626894342,0.0095725975701385,"Fgf4",1
"GO:0033612","GO:0033612","receptor serine/threonine kinase binding","1/15","26/20775",0.0186152123672002,0.0386493626894342,0.0095725975701385,"Bmp4",1
"GO:0031435","GO:0031435","mitogen-activated protein kinase kinase kinase binding","1/15","27/20775",0.0193246813447171,0.0386493626894342,0.0095725975701385,"Tcf3",1
"GO:0032452","GO:0032452","histone demethylase activity","1/15","27/20775",0.0193246813447171,0.0386493626894342,0.0095725975701385,"Jarid2",1
"GO:0031625","GO:0031625","ubiquitin protein ligase binding","2/15","307/20775",0.0201306257804624,0.0391109300877555,0.00968691766879394,"Pou5f1/Myc",2
"GO:0044389","GO:0044389","ubiquitin-like protein ligase binding","2/15","327/20775",0.0226547096397099,0.0414705411089357,0.0102713414511296,"Pou5f1/Myc",2
"GO:0043425","GO:0043425","bHLH transcription factor binding","1/15","32/20775",0.0228648513689381,0.0414705411089357,0.0102713414511296,"Tcf3",1
"GO:0005126","GO:0005126","cytokine receptor binding","2/15","331/20775",0.0231747141491111,0.0414705411089357,0.0102713414511296,"Bmp4/Lefty1",2
"GO:0000993","GO:0000993","RNA polymerase II complex binding","1/15","37/20775",0.0263930907368435,0.045076604102212,0.011164483988164,"Esrrb",1
"GO:0000979","GO:0000979","RNA polymerase II core promoter sequence-specific DNA binding","1/15","38/20775",0.0270973102198674,0.045076604102212,0.011164483988164,"Gbx2",1
"GO:0008138","GO:0008138","protein tyrosine/serine/threonine phosphatase activity","1/15","40/20775",0.0285043231822811,0.045076604102212,0.011164483988164,"Dusp6",1
"GO:0031369","GO:0031369","translation initiation factor binding","1/15","40/20775",0.0285043231822811,0.045076604102212,0.011164483988164,"Myc",1
"GO:0042056","GO:0042056","chemoattractant activity","1/15","40/20775",0.0285043231822811,0.045076604102212,0.011164483988164,"Bmp4",1
"GO:0032451","GO:0032451","demethylase activity","1/15","42/20775",0.0299094367927434,0.04519648226459,0.0111941751738923,"Jarid2",1
"GO:0043175","GO:0043175","RNA polymerase core enzyme binding","1/15","42/20775",0.0299094367927434,0.04519648226459,0.0111941751738923,"Esrrb",1
"GO:0001046","GO:0001046","core promoter sequence-specific DNA binding","1/15","49/20775",0.0348124113844116,0.0514618255247824,0.0127459629782743,"Gbx2",1
"GO:0001221","GO:0001221","transcription cofactor binding","1/15","51/20775",0.0362090073369272,0.0523874999768309,0.0129752321924039,"Klf4",1
"GO:1990841","GO:1990841","promoter-specific chromatin binding","1/15","53/20775",0.0376037169992532,0.0528144059649176,0.0130809674216514,"Klf4",1
"GO:0003707","GO:0003707","steroid hormone receptor activity","1/15","55/20775",0.0389965427373279,0.0528144059649176,0.0130809674216514,"Esrrb",1
"GO:0001098","GO:0001098","basal transcription machinery binding","1/15","57/20775",0.0403874869143488,0.0528144059649176,0.0130809674216514,"Esrrb",1
"GO:0001099","GO:0001099","basal RNA polymerase II transcription machinery binding","1/15","57/20775",0.0403874869143488,0.0528144059649176,0.0130809674216514,"Esrrb",1
"GO:0070063","GO:0070063","RNA polymerase binding","1/15","57/20775",0.0403874869143488,0.0528144059649176,0.0130809674216514,"Esrrb",1
"GO:0033613","GO:0033613","activating transcription factor binding","1/15","80/20775",0.0562488688951311,0.0721683600918664,0.017874516431422,"Myc",1
"GO:0008013","GO:0008013","beta-catenin binding","1/15","86/20775",0.0603461902837494,0.0759914988758326,0.0188214238701753,"Klf4",1
"GO:0004725","GO:0004725","protein tyrosine phosphatase activity","1/15","98/20775",0.0684910729872799,0.0846798720570005,0.0209733429243345,"Dusp6",1
"GO:0005496","GO:0005496","steroid binding","1/15","106/20775",0.0738843357653233,0.0897166934293211,0.0222208528617514,"Esrrb",1
"GO:0030165","GO:0030165","PDZ domain binding","1/15","118/20775",0.0819196091279611,0.0977286565035326,0.0242052400008749,"Tcf3",1
"GO:0042826","GO:0042826","histone deacetylase binding","1/15","122/20775",0.0845835411972,0.099166910369131,0.0245614638685154,"Klf4",1
"GO:0019955","GO:0019955","cytokine binding","1/15","131/20775",0.0905510331192395,0.104363902578107,0.0258486446013886,"Pou5f1",1
"GO:0070851","GO:0070851","growth factor receptor binding","1/15","148/20775",0.101724022845841,0.115287225891953,0.0285541116760255,"Fgf4",1
"GO:0008201","GO:0008201","heparin binding","1/15","156/20775",0.10693745000142,0.11920896065732,0.0295254391720917,"Bmp4",1
"GO:0004721","GO:0004721","phosphoprotein phosphatase activity","1/15","175/20775",0.119206373836461,0.130742474530312,0.0323820370353715,"Dusp6",1
"GO:0019207","GO:0019207","kinase regulator activity","1/15","196/20775",0.132583647420569,0.143106159120615,0.0354442499369944,"Klf4",1
"GO:0005539","GO:0005539","glycosaminoglycan binding","1/15","210/20775",0.141396219951827,0.150233483698816,0.0372095315662702,"Bmp4",1
"GO:1901681","GO:1901681","sulfur compound binding","1/15","253/20775",0.167943746002116,0.175694995817599,0.0435157884377953,"Bmp4",1
"GO:0016791","GO:0016791","phosphatase activity","1/15","264/20775",0.174610828060545,0.178441798942145,0.0441961111931009,"Dusp6",1
"GO:0003729","GO:0003729","mRNA binding","1/15","266/20775",0.175817654840054,0.178441798942145,0.0441961111931009,"Myc",1
"GO:0042578","GO:0042578","phosphoric ester hydrolase activity","1/15","356/20775",0.22845144337997,0.22845144337997,0.0565824008371443,"Dusp6",1
