"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001228","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","6/11","436/20775",3.48954363766522e-08,1.46560832781939e-06,4.04052421203342e-07,"Esrrb/Nanog/Pou5f1/Sox2/Tcf3/Mycn",6
"GO:0001158","GO:0001158","enhancer sequence-specific DNA binding","4/11","121/20775",3.50063347469667e-07,6.94967810640566e-06,1.9159513576557e-06,"Esrrb/Nanog/Pou5f1/Tcf3",4
"GO:0035326","GO:0035326","enhancer binding","4/11","132/20775",4.96405579028976e-07,6.94967810640566e-06,1.9159513576557e-06,"Esrrb/Nanog/Pou5f1/Tcf3",4
"GO:0035198","GO:0035198","miRNA binding","2/11","29/20775",0.000102676295247946,0.00107810110010343,0.000297220854665106,"Pou5f1/Sox2",2
"GO:0061980","GO:0061980","regulatory RNA binding","2/11","36/20775",0.000159003432971733,0.00133562883696256,0.000368218476355592,"Pou5f1/Sox2",2
"GO:0001227","GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific","3/11","237/20775",0.000226062120253389,0.00158243484177372,0.000436260232067943,"Jarid2/Pou5f1/Tcf3",3
"GO:0000980","GO:0000980","RNA polymerase II distal enhancer sequence-specific DNA binding","2/11","94/20775",0.00108485144668094,0.0059383077630788,0.00163712745348037,"Esrrb/Tcf3",2
"GO:0031490","GO:0031490","chromatin DNA binding","2/11","96/20775",0.00113110624058644,0.0059383077630788,0.00163712745348037,"Pou5f1/Sox2",2
"GO:0003712","GO:0003712","transcription coregulator activity","3/11","457/20775",0.00152971537026142,0.0071386717278866,0.00196805486232463,"Nanog/Pou5f1/Tcf3",3
"GO:0008083","GO:0008083","growth factor activity","2/11","146/20775",0.00258795527705876,0.0108694121636468,0.00299657979448909,"Fgf4/Lefty1",2
"GO:0003714","GO:0003714","transcription corepressor activity","2/11","190/20775",0.00433442598177309,0.0165496264758609,0.0045625536650243,"Nanog/Pou5f1",2
"GO:0001162","GO:0001162","RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding","1/11","11/20775",0.00581030800561899,0.0203360780196665,0.00560643754928148,"Pou5f1",1
