"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001228","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","7/13","436/20775",2.63058759091449e-09,1.65727018227613e-07,3.59975144019877e-08,"Esrrb/Gbx2/Klf4/Nanog/Pou5f1/Sox2/Tcf3",7
"GO:0001158","GO:0001158","enhancer sequence-specific DNA binding","5/13","121/20775",7.64647455069960e-09,2.40863948347037e-07,5.23179837679446e-08,"Esrrb/Nanog/Pou5f1/Tcf3/Cdx2",5
"GO:0035326","GO:0035326","enhancer binding","5/13","132/20775",1.18557346088903e-08,2.48970426786696e-07,5.40787894440609e-08,"Esrrb/Nanog/Pou5f1/Tcf3/Cdx2",5
"GO:0005160","GO:0005160","transforming growth factor beta receptor binding","3/13","54/20775",4.66097867570195e-06,7.34104141423057e-05,1.59454533642435e-05,"Bmp4/Smad6/Lefty1",3
"GO:0000980","GO:0000980","RNA polymerase II distal enhancer sequence-specific DNA binding","3/13","94/20775",2.48269291773185e-05,0.000312819307634213,6.79473851168717e-05,"Esrrb/Tcf3/Cdx2",3
"GO:0070696","GO:0070696","transmembrane receptor protein serine/threonine kinase binding","2/13","18/20775",5.49922557438603e-05,0.000577418685310533,0.000125420934152664,"Bmp4/Smad6",2
"GO:0008083","GO:0008083","growth factor activity","3/13","146/20775",9.23503910299333e-05,0.000815389204245808,0.000177110437012456,"Bmp4/Fgf4/Lefty1",3
"GO:0001085","GO:0001085","RNA polymerase II transcription factor binding","3/13","153/20775",0.000106112667080324,0.000815389204245808,0.000177110437012456,"Gbx2/Klf4/Nanog",3
"GO:0033612","GO:0033612","receptor serine/threonine kinase binding","2/13","26/20775",0.000116484172035115,0.000815389204245808,0.000177110437012456,"Bmp4/Smad6",2
"GO:0003712","GO:0003712","transcription coregulator activity","4/13","457/20775",0.000141128310686488,0.000832525451555333,0.00018083259599364,"Nanog/Pou5f1/Tcf3/Cdx2",4
"GO:0035198","GO:0035198","miRNA binding","2/13","29/20775",0.000145361586779503,0.000832525451555333,0.00018083259599364,"Pou5f1/Sox2",2
"GO:0003714","GO:0003714","transcription corepressor activity","3/13","190/20775",0.000201285182834708,0.00105674720988222,0.000229535734811509,"Nanog/Pou5f1/Cdx2",3
"GO:0061980","GO:0061980","regulatory RNA binding","2/13","36/20775",0.000225004412339798,0.0010904059982621,0.000236846749831366,"Pou5f1/Sox2",2
"GO:0001227","GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific","3/13","237/20775",0.000385277554461206,0.00173374899507543,0.000376587083307946,"Pou5f1/Tcf3/Cdx2",3
"GO:0005126","GO:0005126","cytokine receptor binding","3/13","331/20775",0.00101808292989749,0.00427594830556944,0.00092877740973104,"Bmp4/Smad6/Lefty1",3
