"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005667","GO:0005667","transcription factor complex","4/13","423/21319",9.47866530575147e-05,0.00230060648299219,0.00169518372431003,"Nr6a1/Klf4/Sox2/Tcf3",4
"GO:0005719","GO:0005719","nuclear euchromatin","2/13","35/21319",0.000201928560946604,0.00230060648299219,0.00169518372431003,"Klf4/Myc",2
"GO:0044798","GO:0044798","nuclear transcription factor complex","3/13","204/21319",0.000230060648299219,0.00230060648299219,0.00169518372431003,"Klf4/Sox2/Tcf3",3
"GO:0000791","GO:0000791","euchromatin","2/13","45/21319",0.000334828284723715,0.00251121213542786,0.00185036683663106,"Klf4/Myc",2
"GO:0000790","GO:0000790","nuclear chromatin","3/13","402/21319",0.00165352827889663,0.00992116967337977,0.00731033554880615,"Klf4/Tcf3/Myc",3
"GO:0035098","GO:0035098","ESC/E(Z) complex","1/13","16/21319",0.00971546415143698,0.0468160779453448,0.0344960574334119,"Jarid2",1
"GO:0032039","GO:0032039","integrator complex","1/13","18/21319",0.0109237515205804,0.0468160779453448,0.0344960574334119,"Esrrb",1
"GO:0000788","GO:0000788","nuclear nucleosome","1/13","38/21319",0.0229320014942935,0.0859950056036007,0.0633647409710742,"Tcf3",1
"GO:0031519","GO:0031519","PcG protein complex","1/13","47/21319",0.0282916842553581,0.094305614184527,0.069488347293862,"Jarid2",1
"GO:0044291","GO:0044291","cell-cell contact zone","1/13","84/21319",0.0500420609658414,0.12214101848175,0.089998645197079,"Pecam1",1
"GO:0000786","GO:0000786","nucleosome","1/13","88/21319",0.0523663347076945,0.12214101848175,0.089998645197079,"Tcf3",1
"GO:0005791","GO:0005791","rough endoplasmic reticulum","1/13","93/21319",0.0552642948282668,0.12214101848175,0.089998645197079,"Myc",1
"GO:0035097","GO:0035097","histone methyltransferase complex","1/13","96/21319",0.05699914195815,0.12214101848175,0.089998645197079,"Jarid2",1
"GO:0044815","GO:0044815","DNA packaging complex","1/13","96/21319",0.05699914195815,0.12214101848175,0.089998645197079,"Tcf3",1
"GO:0034708","GO:0034708","methyltransferase complex","1/13","120/21319",0.0707724221890448,0.14154484437809,0.104296201120698,"Jarid2",1
"GO:0001726","GO:0001726","ruffle","1/13","147/21319",0.0860452636897147,0.161334869418215,0.118878324834474,"Pecam1",1
"GO:0090575","GO:0090575","RNA polymerase II transcription factor complex","1/13","163/21319",0.094986147734254,0.167622613648683,0.123511399530609,"Tcf3",1
"GO:0032993","GO:0032993","protein-DNA complex","1/13","191/21319",0.110438677424889,0.177109905245484,0.130502035444041,"Tcf3",1
"GO:0000793","GO:0000793","condensed chromosome","1/13","195/21319",0.112626191234738,0.177109905245484,0.130502035444041,"Esrrb",1
"GO:0044449","GO:0044449","contractile fiber part","1/13","205/21319",0.118073270163656,0.177109905245484,0.130502035444041,"Pecam1",1
"GO:0043292","GO:0043292","contractile fiber","1/13","228/21319",0.130484629639344,0.186406613770492,0.137352241725626,"Pecam1",1
"GO:0005819","GO:0005819","spindle","1/13","278/21319",0.156911615353149,0.213970384572476,0.157662388632351,"Myc",1
"GO:0016607","GO:0016607","nuclear speck","1/13","322/21319",0.179551991349813,0.234198249586712,0.17256713127442,"Tcf3",1
"GO:0045121","GO:0045121","membrane raft","1/13","370/21319",0.203609633311179,0.235525218095765,0.173544897544248,"Pecam1",1
"GO:0098857","GO:0098857","membrane microdomain","1/13","371/21319",0.204103837080665,0.235525218095765,0.173544897544248,"Pecam1",1
"GO:0098589","GO:0098589","membrane region","1/13","383/21319",0.210012242735278,0.235525218095765,0.173544897544248,"Pecam1",1
"GO:0031252","GO:0031252","cell leading edge","1/13","387/21319",0.211972696286188,0.235525218095765,0.173544897544248,"Pecam1",1
"GO:0005635","GO:0005635","nuclear envelope","1/13","416/21319",0.226052240154856,0.242198828737345,0.178462294859097,"Myc",1
"GO:0009897","GO:0009897","external side of plasma membrane","1/13","434/21319",0.234674087775971,0.242766297699281,0.17888042988368,"Pecam1",1
"GO:0005911","GO:0005911","cell-cell junction","1/13","482/21319",0.257234133683286,0.257234133683286,0.189540940608737,"Pecam1",1
