"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008083","GO:0008083","growth factor activity","3/7","146/20775",1.16574226848195e-05,0.000349722680544586,7.36258274830708e-05,"Bmp4/Fgf4/Lefty1",3
"GO:0005160","GO:0005160","transforming growth factor beta receptor binding","2/7","54/20775",0.000138102699671671,0.00207154049507506,0.000436113788436855,"Bmp4/Lefty1",2
"GO:0001228","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","3/7","436/20775",0.000301746230031544,0.00301746230031544,0.000635255221119039,"Gbx2/Nanog/Sox2",3
"GO:0048018","GO:0048018","receptor ligand activity","3/7","491/20775",0.000427825450354712,0.00320869087766034,0.000675513868981125,"Bmp4/Fgf4/Lefty1",3
"GO:0001085","GO:0001085","RNA polymerase II transcription factor binding","2/7","153/20775",0.00110447698439267,0.006626861906356,0.00139512882239074,"Gbx2/Nanog",2
"GO:0005125","GO:0005125","cytokine activity","2/7","218/20775",0.00222328193186599,0.01111640965933,0.00234029677038525,"Bmp4/Lefty1",2
"GO:0070700","GO:0070700","BMP receptor binding","1/7","11/20775",0.00370102929362515,0.0151383882647452,0.0031870291083674,"Bmp4",1
"GO:0039706","GO:0039706","co-receptor binding","1/7","12/20775",0.00403690353726538,0.0151383882647452,0.0031870291083674,"Bmp4",1
"GO:0005126","GO:0005126","cytokine receptor binding","2/7","331/20775",0.00504093157435571,0.0168031052478524,0.00353749584165313,"Bmp4/Lefty1",2
"GO:0070696","GO:0070696","transmembrane receptor protein serine/threonine kinase binding","1/7","18/20775",0.00605011156849644,0.0181503347054893,0.00382112309589249,"Bmp4",1
"GO:0005104","GO:0005104","fibroblast growth factor receptor binding","1/7","26/20775",0.00872896233462706,0.0208541456618705,0.00439034645513063,"Fgf4",1
"GO:0033612","GO:0033612","receptor serine/threonine kinase binding","1/7","26/20775",0.00872896233462706,0.0208541456618705,0.00439034645513063,"Bmp4",1
"GO:0032452","GO:0032452","histone demethylase activity","1/7","27/20775",0.00906338313869748,0.0208541456618705,0.00439034645513063,"Jarid2",1
"GO:0035198","GO:0035198","miRNA binding","1/7","29/20775",0.00973193464220623,0.0208541456618705,0.00439034645513063,"Sox2",1
"GO:0061980","GO:0061980","regulatory RNA binding","1/7","36/20775",0.0120688212521249,0.0234468385430773,0.0049361765353847,"Sox2",1
"GO:0000979","GO:0000979","RNA polymerase II core promoter sequence-specific DNA binding","1/7","38/20775",0.0127356342940959,0.0234468385430773,0.0049361765353847,"Gbx2",1
"GO:0042056","GO:0042056","chemoattractant activity","1/7","40/20775",0.0134020615233225,0.0234468385430773,0.0049361765353847,"Bmp4",1
"GO:0032451","GO:0032451","demethylase activity","1/7","42/20775",0.0140681031258464,0.0234468385430773,0.0049361765353847,"Jarid2",1
"GO:0001046","GO:0001046","core promoter sequence-specific DNA binding","1/7","49/20775",0.0163962146086843,0.025888759908449,0.00545026524388399,"Gbx2",1
"GO:0001047","GO:0001047","core promoter binding","1/7","62/20775",0.0207073505602497,0.0310610258403746,0.00653916333481571,"Gbx2",1
"GO:0031490","GO:0031490","chromatin DNA binding","1/7","96/20775",0.0319061373316717,0.0455801961881024,0.00959583077644261,"Sox2",1
"GO:0001158","GO:0001158","enhancer sequence-specific DNA binding","1/7","121/20775",0.0400703433839835,0.0546413773417957,0.0115034478614307,"Nanog",1
"GO:0035326","GO:0035326","enhancer binding","1/7","132/20775",0.0436438543333494,0.0569267665217601,0.0119845824256337,"Nanog",1
"GO:0070851","GO:0070851","growth factor receptor binding","1/7","148/20775",0.0488213307618056,0.061026663452257,0.0128477186215278,"Fgf4",1
"GO:0008201","GO:0008201","heparin binding","1/7","156/20775",0.0514010466640848,0.0616812559969018,0.0129855275782951,"Bmp4",1
"GO:0003714","GO:0003714","transcription corepressor activity","1/7","190/20775",0.062298049603043,0.071882364926588,0.0151331294582291,"Nanog",1
"GO:0005539","GO:0005539","glycosaminoglycan binding","1/7","210/20775",0.0686577908906943,0.0762864343229937,0.0160603019627355,"Bmp4",1
"GO:0001227","GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific","1/7","237/20775",0.0771847719077379,0.0826979699011477,0.0174100989265574,"Jarid2",1
"GO:1901681","GO:1901681","sulfur compound binding","1/7","253/20775",0.0822061514943299,0.0850408463734447,0.0179033360786199,"Bmp4",1
"GO:0003712","GO:0003712","transcription coregulator activity","1/7","457/20775",0.144205307889202,0.144205307889202,0.0303590121872004,"Nanog",1
