"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008083","GO:0008083","growth factor activity","3/7","146/20775",1.16574226848195e-05,0.000303092989805308,6.13548562358924e-05,"Bmp4/Fgf4/Lefty1",3
"GO:0005160","GO:0005160","transforming growth factor beta receptor binding","2/7","54/20775",0.000138102699671671,0.00179533509573172,0.000363428157030712,"Bmp4/Lefty1",2
"GO:0048018","GO:0048018","receptor ligand activity","3/7","491/20775",0.000427825450354712,0.00370782056974084,0.000750570965534583,"Bmp4/Fgf4/Lefty1",3
"GO:0005125","GO:0005125","cytokine activity","2/7","218/20775",0.00222328193186599,0.0144513325571289,0.00292537096298157,"Bmp4/Lefty1",2
"GO:0070700","GO:0070700","BMP receptor binding","1/7","11/20775",0.00370102929362515,0.0174932486614833,0.00354114345374156,"Bmp4",1
"GO:0039706","GO:0039706","co-receptor binding","1/7","12/20775",0.00403690353726538,0.0174932486614833,0.00354114345374156,"Bmp4",1
"GO:0005126","GO:0005126","cytokine receptor binding","2/7","331/20775",0.00504093157435571,0.0187234601333212,0.00379017411605693,"Bmp4/Lefty1",2
"GO:0070696","GO:0070696","transmembrane receptor protein serine/threonine kinase binding","1/7","18/20775",0.00605011156849644,0.0194638692844125,0.00394005451101467,"Bmp4",1
"GO:0001228","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","2/7","436/20775",0.00860563064599231,0.0194638692844125,0.00394005451101467,"Gbx2/Sox2",2
"GO:0005104","GO:0005104","fibroblast growth factor receptor binding","1/7","26/20775",0.00872896233462706,0.0194638692844125,0.00394005451101467,"Fgf4",1
"GO:0033612","GO:0033612","receptor serine/threonine kinase binding","1/7","26/20775",0.00872896233462706,0.0194638692844125,0.00394005451101467,"Bmp4",1
"GO:0032452","GO:0032452","histone demethylase activity","1/7","27/20775",0.00906338313869748,0.0194638692844125,0.00394005451101467,"Jarid2",1
"GO:0035198","GO:0035198","miRNA binding","1/7","29/20775",0.00973193464220623,0.0194638692844125,0.00394005451101467,"Sox2",1
"GO:0061980","GO:0061980","regulatory RNA binding","1/7","36/20775",0.0120688212521249,0.0215159224277651,0.00435544988416297,"Sox2",1
"GO:0000979","GO:0000979","RNA polymerase II core promoter sequence-specific DNA binding","1/7","38/20775",0.0127356342940959,0.0215159224277651,0.00435544988416297,"Gbx2",1
"GO:0042056","GO:0042056","chemoattractant activity","1/7","40/20775",0.0134020615233225,0.0215159224277651,0.00435544988416297,"Bmp4",1
"GO:0032451","GO:0032451","demethylase activity","1/7","42/20775",0.0140681031258464,0.0215159224277651,0.00435544988416297,"Jarid2",1
"GO:0001046","GO:0001046","core promoter sequence-specific DNA binding","1/7","49/20775",0.0163962146086843,0.0236834211014329,0.00479421479786092,"Gbx2",1
"GO:0001047","GO:0001047","core promoter binding","1/7","62/20775",0.0207073505602497,0.0283363744508681,0.00573610818843483,"Gbx2",1
"GO:0031490","GO:0031490","chromatin DNA binding","1/7","96/20775",0.0319061373316717,0.0414779785311732,0.00839635192938729,"Sox2",1
"GO:0070851","GO:0070851","growth factor receptor binding","1/7","148/20775",0.0488213307618056,0.0581055310115742,0.0117622532412093,"Fgf4",1
"GO:0001085","GO:0001085","RNA polymerase II transcription factor binding","1/7","153/20775",0.0504343568732533,0.0581055310115742,0.0117622532412093,"Gbx2",1
"GO:0008201","GO:0008201","heparin binding","1/7","156/20775",0.0514010466640848,0.0581055310115742,0.0117622532412093,"Bmp4",1
"GO:0005539","GO:0005539","glycosaminoglycan binding","1/7","210/20775",0.0686577908906943,0.0743792734649189,0.0150565330900646,"Bmp4",1
"GO:0001227","GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific","1/7","237/20775",0.0771847719077379,0.0802721627840474,0.0162494256647869,"Jarid2",1
"GO:1901681","GO:1901681","sulfur compound binding","1/7","253/20775",0.0822061514943299,0.0822061514943299,0.0166409213551275,"Bmp4",1
