"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005719","GO:0005719","nuclear euchromatin","2/12","35/21319",0.000171038981348342,0.00425545862900872,0.00283697241933915,"Klf4/Myc",2
"GO:0000791","GO:0000791","euchromatin","2/12","45/21319",0.000283697241933915,0.00425545862900872,0.00283697241933915,"Klf4/Myc",2
"GO:0000790","GO:0000790","nuclear chromatin","3/12","402/21319",0.001289902776703,0.0111999348476251,0.00746662323175006,"Klf4/Tcf3/Myc",3
"GO:0005667","GO:0005667","transcription factor complex","3/12","423/21319",0.00149332464635001,0.0111999348476251,0.00746662323175006,"Nr6a1/Klf4/Tcf3",3
"GO:0044798","GO:0044798","nuclear transcription factor complex","2/12","204/21319",0.00564584217325462,0.0338750530395277,0.0225833686930185,"Klf4/Tcf3",2
"GO:0035098","GO:0035098","ESC/E(Z) complex","1/12","16/21319",0.00897127399721298,0.0432320595442997,0.0288213730295331,"Jarid2",1
"GO:0032039","GO:0032039","integrator complex","1/12","18/21319",0.0100874805603366,0.0432320595442997,0.0288213730295331,"Esrrb",1
"GO:0000788","GO:0000788","nuclear nucleosome","1/12","38/21319",0.0211863348459691,0.0794487556723841,0.0529658371149228,"Tcf3",1
"GO:0031519","GO:0031519","PcG protein complex","1/12","47/21319",0.0261435050060639,0.0871450166868796,0.0580966777912531,"Jarid2",1
"GO:0044291","GO:0044291","cell-cell contact zone","1/12","84/21319",0.0462821558214758,0.112995351236451,0.0753302341576342,"Pecam1",1
"GO:0000786","GO:0000786","nucleosome","1/12","88/21319",0.0484362832186651,0.112995351236451,0.0753302341576342,"Tcf3",1
"GO:0005791","GO:0005791","rough endoplasmic reticulum","1/12","93/21319",0.051122670401899,0.112995351236451,0.0753302341576342,"Myc",1
"GO:0035097","GO:0035097","histone methyltransferase complex","1/12","96/21319",0.0527311639103439,0.112995351236451,0.0753302341576342,"Jarid2",1
"GO:0044815","GO:0044815","DNA packaging complex","1/12","96/21319",0.0527311639103439,0.112995351236451,0.0753302341576342,"Tcf3",1
"GO:0034708","GO:0034708","methyltransferase complex","1/12","120/21319",0.0655094161316836,0.131018832263367,0.0873458881755781,"Jarid2",1
"GO:0001726","GO:0001726","ruffle","1/12","147/21319",0.0796959562115663,0.149429917896687,0.0996199452644579,"Pecam1",1
"GO:0090575","GO:0090575","RNA polymerase II transcription factor complex","1/12","163/21319",0.0880093572537722,0.155310630447833,0.103540420298556,"Tcf3",1
"GO:0032993","GO:0032993","protein-DNA complex","1/12","191/21319",0.10239235176606,0.16425839972825,0.109505599818833,"Tcf3",1
"GO:0000793","GO:0000793","condensed chromosome","1/12","195/21319",0.104430004577424,0.16425839972825,0.109505599818833,"Esrrb",1
"GO:0044449","GO:0044449","contractile fiber part","1/12","205/21319",0.109505599818833,0.16425839972825,0.109505599818833,"Pecam1",1
"GO:0043292","GO:0043292","contractile fiber","1/12","228/21319",0.121079558030529,0.17297079718647,0.11531386479098,"Pecam1",1
"GO:0005819","GO:0005819","spindle","1/12","278/21319",0.145766122418068,0.198771985115547,0.132514656743698,"Myc",1
"GO:0016607","GO:0016607","nuclear speck","1/12","322/21319",0.166962796268309,0.217777560349969,0.145185040233312,"Tcf3",1
"GO:0045121","GO:0045121","membrane raft","1/12","370/21319",0.189535771933004,0.219327716155185,0.14621847743679,"Pecam1",1
"GO:0098857","GO:0098857","membrane microdomain","1/12","371/21319",0.190000021813037,0.219327716155185,0.14621847743679,"Pecam1",1
"GO:0098589","GO:0098589","membrane region","1/12","383/21319",0.195552038614059,0.219327716155185,0.14621847743679,"Pecam1",1
"GO:0031252","GO:0031252","cell leading edge","1/12","387/21319",0.197394944539667,0.219327716155185,0.14621847743679,"Pecam1",1
"GO:0005635","GO:0005635","nuclear envelope","1/12","416/21319",0.210640710400627,0.225686475429244,0.150457650286162,"Myc",1
"GO:0009897","GO:0009897","external side of plasma membrane","1/12","434/21319",0.218761116669507,0.226304603451214,0.150869735634143,"Pecam1",1
"GO:0005911","GO:0005911","cell-cell junction","1/12","482/21319",0.240042625997108,0.240042625997108,0.160028417331405,"Pecam1",1
