"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001102","GO:0001102","RNA polymerase II activating transcription factor binding","1/3","43/20775",0.00619684066466686,0.0422783256131891,0.00702686852296772,"Pitx2",1
"GO:0005160","GO:0005160","transforming growth factor beta receptor binding","1/3","54/20775",0.00777795618655452,0.0422783256131891,0.00702686852296772,"Lefty1",1
"GO:0033613","GO:0033613","activating transcription factor binding","1/3","80/20775",0.0115084699408565,0.0422783256131891,0.00702686852296772,"Pitx2",1
"GO:0031490","GO:0031490","chromatin DNA binding","1/3","96/20775",0.0137995165181017,0.0422783256131891,0.00702686852296772,"Pitx2",1
"GO:0051219","GO:0051219","phosphoprotein binding","1/3","104/20775",0.0149437111076351,0.0422783256131891,0.00702686852296772,"Pitx2",1
"GO:0042826","GO:0042826","histone deacetylase binding","1/3","122/20775",0.0175149124225319,0.0422783256131891,0.00702686852296772,"Dnmt3b",1
"GO:0008083","GO:0008083","growth factor activity","1/3","146/20775",0.0209362155161644,0.0422783256131891,0.00702686852296772,"Lefty1",1
"GO:0008757","GO:0008757","S-adenosylmethionine-dependent methyltransferase activity","1/3","149/20775",0.0213633190957252,0.0422783256131891,0.00702686852296772,"Dnmt3b",1
"GO:0001085","GO:0001085","RNA polymerase II transcription factor binding","1/3","153/20775",0.0219325972912173,0.0422783256131891,0.00702686852296772,"Pitx2",1
"GO:0140097","GO:0140097","catalytic activity, acting on DNA","1/3","181/20775",0.0259113643521218,0.0422783256131891,0.00702686852296772,"Dnmt3b",1
"GO:0003714","GO:0003714","transcription corepressor activity","1/3","190/20775",0.0271879583651085,0.0422783256131891,0.00702686852296772,"Dnmt3b",1
"GO:0008168","GO:0008168","methyltransferase activity","1/3","201/20775",0.0287467246343081,0.0422783256131891,0.00702686852296772,"Dnmt3b",1
"GO:0016741","GO:0016741","transferase activity, transferring one-carbon groups","1/3","213/20775",0.030445296897599,0.0422783256131891,0.00702686852296772,"Dnmt3b",1
"GO:0005125","GO:0005125","cytokine activity","1/3","218/20775",0.0311524504518236,0.0422783256131891,0.00702686852296772,"Lefty1",1
"GO:0001227","GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific","1/3","237/20775",0.0338364980324977,0.042859564174497,0.00712347326999951,"Pitx2",1
"GO:0005126","GO:0005126","cytokine receptor binding","1/3","331/20775",0.0470425622747529,0.0558630427012691,0.00928471623843807,"Lefty1",1
"GO:0001228","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","1/3","436/20775",0.0616511045926731,0.068141157231374,0.0113254000938572,"Pitx2",1
"GO:0003712","GO:0003712","transcription coregulator activity","1/3","457/20775",0.0645547805349859,0.068141157231374,0.0113254000938572,"Dnmt3b",1
"GO:0048018","GO:0048018","receptor ligand activity","1/3","491/20775",0.0692432594572313,0.0692432594572313,0.0115085749790412,"Lefty1",1
