"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000790","GO:0000790","nuclear chromatin","4/11","402/21319",3.70083847090381e-05,0.00111025154127114,0.000623299110889063,"Dnmt3b/Pou5f1/Tcf3/Klf2",4
"GO:0044798","GO:0044798","nuclear transcription factor complex","3/11","204/21319",0.000134617556294209,0.00201926334441314,0.00113362152668808,"Pou5f1/Sox2/Tcf3",3
"GO:0005667","GO:0005667","transcription factor complex","3/11","423/21319",0.00113665962716244,0.0113665962716244,0.00638124702968389,"Pou5f1/Sox2/Tcf3",3
"GO:0035098","GO:0035098","ESC/E(Z) complex","1/11","16/21319",0.00822655956850582,0.0555032510417057,0.0311597198830629,"Jarid2",1
"GO:0032039","GO:0032039","integrator complex","1/11","18/21319",0.00925054184028429,0.0555032510417057,0.0311597198830629,"Esrrb",1
"GO:0000788","GO:0000788","nuclear nucleosome","1/11","38/21319",0.0194376315419802,0.089965042449064,0.0505066904977202,"Tcf3",1
"GO:0005720","GO:0005720","nuclear heterochromatin","1/11","43/21319",0.0219694798919067,0.089965042449064,0.0505066904977202,"Dnmt3b",1
"GO:0031519","GO:0031519","PcG protein complex","1/11","47/21319",0.0239906779864171,0.089965042449064,0.0505066904977202,"Jarid2",1
"GO:0017053","GO:0017053","transcriptional repressor complex","1/11","83/21319",0.0420113199909209,0.103808724233077,0.0582785820255874,"Pou5f1",1
"GO:0044291","GO:0044291","cell-cell contact zone","1/11","84/21319",0.0425075469395032,0.103808724233077,0.0582785820255874,"Pecam1",1
"GO:0000786","GO:0000786","nucleosome","1/11","88/21319",0.0444901188889402,0.103808724233077,0.0582785820255874,"Tcf3",1
"GO:0000792","GO:0000792","heterochromatin","1/11","95/21319",0.0479506420335321,0.103808724233077,0.0582785820255874,"Dnmt3b",1
"GO:0035097","GO:0035097","histone methyltransferase complex","1/11","96/21319",0.0484440713087695,0.103808724233077,0.0582785820255874,"Jarid2",1
"GO:0044815","GO:0044815","DNA packaging complex","1/11","96/21319",0.0484440713087695,0.103808724233077,0.0582785820255874,"Tcf3",1
"GO:0034708","GO:0034708","methyltransferase complex","1/11","120/21319",0.0602168509974477,0.120433701994895,0.0676119028743272,"Jarid2",1
"GO:0001726","GO:0001726","ruffle","1/11","147/21319",0.0733028417823384,0.137442828341884,0.077160886086672,"Pecam1",1
"GO:0090575","GO:0090575","RNA polymerase II transcription factor complex","1/11","163/21319",0.0809791148906777,0.142904320395314,0.0802269868885971,"Tcf3",1
"GO:0032993","GO:0032993","protein-DNA complex","1/11","191/21319",0.0942736293711801,0.14407872414482,0.0808863012742852,"Tcf3",1
"GO:0000775","GO:0000775","chromosome, centromeric region","1/11","194/21319",0.0956876214648079,0.14407872414482,0.0808863012742852,"Dnmt3b",1
"GO:0000793","GO:0000793","condensed chromosome","1/11","195/21319",0.0961585060169445,0.14407872414482,0.0808863012742852,"Esrrb",1
"GO:0044449","GO:0044449","contractile fiber part","1/11","205/21319",0.100855106901374,0.14407872414482,0.0808863012742852,"Pecam1",1
"GO:0043292","GO:0043292","contractile fiber","1/11","228/21319",0.11157320789917,0.152145283498869,0.0854148959993649,"Pecam1",1
"GO:0098687","GO:0098687","chromosomal region","1/11","307/21319",0.147508980935737,0.192403018611831,0.108015729746993,"Dnmt3b",1
"GO:0016607","GO:0016607","nuclear speck","1/11","322/21319",0.154181037972226,0.192726297465282,0.108197219629632,"Tcf3",1
"GO:0045121","GO:0045121","membrane raft","1/11","370/21319",0.175213880425468,0.195587387156337,0.109803445421102,"Pecam1",1
"GO:0098857","GO:0098857","membrane microdomain","1/11","371/21319",0.175646963022027,0.195587387156337,0.109803445421102,"Pecam1",1
"GO:0098589","GO:0098589","membrane region","1/11","383/21319",0.180827853705538,0.195587387156337,0.109803445421102,"Pecam1",1
"GO:0031252","GO:0031252","cell leading edge","1/11","387/21319",0.182548228012582,0.195587387156337,0.109803445421102,"Pecam1",1
"GO:0009897","GO:0009897","external side of plasma membrane","1/11","434/21319",0.202518054708913,0.209501435905773,0.117614841210258,"Pecam1",1
"GO:0005911","GO:0005911","cell-cell junction","1/11","482/21319",0.222454061017304,0.222454061017304,0.124886490395679,"Pecam1",1
